,Gatsibo,Muhanga,Gicumbi,Kicukiro,Rulindo,Nyaruguru,Rwamagana,Kamonyi,Gasabo,Ngororero,Rubavu,Nyamagabe,Burera,Nyabihu,Gakenke,Nyamasheke,Kirehe,Nyagatare,Bugesera,Karongi,Huye,Musanze,Rusizi,Ngoma,Nyarugenge,Gisagara,Kayonza,Ruhango,Nyanza,Rutsiro
2008-01-01 00:00:00+00:00,0.0,0.4,0.2,0.1,0.0,0.1,0.1,0.0,0.0,0.4,1.3000001,0.3,0.2,1.8000002,0.4,0.3,0.0,0.0,0.0,0.3,0.4,0.0,0.1,0.0,0.4,0.0,0.3,0.4,0.4,0.4
2008-01-02 00:00:00+00:00,0.0,0.3,0.1,0.3,0.1,0.90000004,0.3,0.3,0.3,0.5,0.5,0.90000004,0.1,0.8,0.3,0.0,0.0,0.1,0.1,0.90000004,0.4,0.1,0.0,0.2,0.3,0.4,0.2,0.4,0.4,0.5
2008-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,1.6000001,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3
2008-01-04 00:00:00+00:00,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0
2008-01-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.70000005,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2008-01-06 00:00:00+00:00,0.0,18.599998,9.2,1.9,22.500002,11.800001,1.9,2.6000001,2.6000001,63.7,0.1,7.6,9.2,25.7,18.599998,2.2999997,1.3000001,0.0,7.8,7.6,3.0000002,22.500002,2.4999998,2.3000002,18.599998,4.799999,0.0,3.0000002,3.0000002,63.7
2008-01-07 00:00:00+00:00,0.0,4.4999995,4.1,0.2,4.9999995,1.1,0.2,0.6,0.6,17.500002,0.0,1.8000001,4.1,19.899998,4.4999995,4.1,0.0,0.1,0.8,1.8000001,0.4,4.9999995,3.8,0.0,4.4999995,0.0,0.0,0.4,0.4,17.500002
2008-01-08 00:00:00+00:00,0.0,4.0999994,3.9999995,1.3000001,4.5,1.8999999,1.3000001,2.3999999,2.3999999,13.799999,0.3,1.5,3.9999995,11.5,4.0999994,1.4000001,4.1,0.0,1.5,1.5,1.0,4.5,0.7,2.1,4.0999994,0.8,0.9,1.0,1.0,13.799999
2008-01-09 00:00:00+00:00,1.0,0.6,9.4,1.4000001,3.8000002,0.3,1.4000001,5.6,5.6,7.0000005,12.2,0.0,9.4,18.499998,0.6,0.90000004,0.0,0.1,0.0,0.0,0.0,3.8000002,0.3,0.0,0.6,0.0,0.0,0.0,0.0,7.0000005
2008-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-11 00:00:00+00:00,0.0,0.1,2.7,0.2,1.1,2.9,0.2,0.8,0.8,4.4999995,11.599999,0.1,2.7,13.0,0.1,1.8000002,0.0,0.0,0.0,0.1,0.0,1.1,1.7,0.0,0.1,0.6,0.5,0.0,0.0,4.4999995
2008-01-12 00:00:00+00:00,2.2,0.0,1.1,2.2,0.0,8.099999,2.2,2.2,2.2,3.2,12.200001,2.8,1.1,6.9999995,0.0,3.8999999,3.3,0.4,2.1,2.8,0.2,0.0,5.4,2.7,0.0,0.3,1.1,0.2,0.2,3.2
2008-01-13 00:00:00+00:00,0.5,0.1,3.9,0.2,0.2,0.70000005,0.2,0.3,0.3,6.5,19.900002,0.1,3.9,18.2,0.1,2.1,0.0,0.2,0.3,0.1,0.0,0.2,2.2,0.0,0.1,0.1,0.0,0.0,0.0,6.5
2008-01-14 00:00:00+00:00,2.9,4.9,12.6,1.8000001,5.9,12.299999,1.8000001,3.6000001,3.6000001,33.300003,28.499998,5.1000004,12.6,75.799995,4.9,1.9000001,4.4999995,4.8999996,3.8,5.1000004,0.70000005,5.9,2.8000002,3.5,4.9,0.3,2.4,0.70000005,0.70000005,33.300003
2008-01-15 00:00:00+00:00,2.0,5.7,7.1,4.1000004,7.3,0.8000001,4.1000004,6.2,6.2,18.5,10.099999,8.599999,7.1,9.1,5.7,5.3,11.099999,3.8000002,5.1,8.599999,5.5,7.3,5.7,7.1,5.7,5.5999994,2.7000003,5.5,5.5,18.5
2008-01-16 00:00:00+00:00,0.0,5.9,12.2,6.7999997,7.7999997,5.4999995,6.7999997,13.4,13.4,23.0,11.1,10.499999,12.2,29.900002,5.9,5.1999993,6.4999995,0.1,3.5,10.499999,4.3,7.7999997,4.5,5.7,5.9,3.6,0.2,4.3,4.3,23.0
2008-01-17 00:00:00+00:00,2.1,2.7000003,4.9,2.8,2.3000002,7.700001,2.8,2.3,2.3,8.7,10.400001,3.6,4.9,14.0,2.7000003,4.6,11.800001,2.3000002,6.7000003,3.6,2.1,2.3000002,4.2,9.0,2.7000003,2.5,2.7999997,2.1,2.1,8.7
